Station_ID,Station_Name,Day of Go_live_date,Status,end_lat,end_lon
3000,Virtual Station,4/23/2015,Active,,
3004,Municipal Services Building Plaza,4/23/2015,Active,39.953781,-75.163742
3005,"Welcome Park, NPS",4/23/2015,Active,39.94733,-75.144028
3006,40th & Spruce,4/23/2015,Active,39.952202,-75.20311
3007,"11th & Pine, Kahn Park",4/23/2015,Active,39.945171,-75.159927
3008,Temple University Station,4/23/2015,Active,39.979439,-75.151138
3009,33rd & Market,4/23/2015,Active,39.955761,-75.189819
3010,15th & Spruce,4/23/2015,Active,39.947109,-75.166183
3011,38th & Powelton,4/23/2015,Active,39.959671,-75.196487
3012,21st & Catharine,4/23/2015,Active,39.942181,-75.177467
3013,6th & Fairmount,4/23/2015,Active,39.963169,-75.147919
3014,"21st & Winter, Franklin Institute",4/23/2015,Active,39.958858,-75.173691
3015,"4th & Walnut, NPS",4/23/2015,Active,39.94735,-75.148857
3016,"11th & Poplar, John F. Street Community Center",4/23/2015,Active,39.968922,-75.154701
3017,6th & Berks,4/23/2015,Active,39.98003,-75.143707
3018,12th & Filbert,4/29/2015,Active,39.952728,-75.15979
3019,6th & Race,4/29/2015,Active,39.954029,-75.149834
3020,University City Station,4/23/2015,Active,39.948551,-75.190071
3021,18th & JFK,4/23/2015,Active,39.953899,-75.169022
3022,Amtrak 30th Street Station,4/23/2015,Active,39.95472,-75.183228
3023,Rittenhouse Square,4/23/2015,Inactive,,
3024,"43rd & Chester, Clark Park",4/23/2015,Active,39.948219,-75.209084
3025,11th & Washington,4/23/2015,Active,39.937241,-75.161201
3026,2nd & Lombard,4/23/2015,Active,39.941818,-75.1455
3027,"40th Street Station, MFL",4/23/2015,Inactive,39.95694,-75.200691
3028,4th & Bainbridge,4/23/2015,Active,39.940609,-75.149582
3029,36th & Sansom,4/23/2015,Active,39.9538,-75.194794
3030,Darien & Catharine,4/23/2015,Active,39.93935,-75.157158
3031,13th & Montgomery,4/23/2015,Active,39.980049,-75.15522
3032,23rd & South,4/23/2015,Active,39.945271,-75.17971
3033,10th & Chestnut,4/23/2015,Active,39.95005,-75.156723
3034,11th & Reed,4/23/2015,Active,39.933151,-75.162483
3035,Dornsife Center,7/31/2015,Active,39.962711,-75.194191
3036,2nd & Germantown,4/23/2015,Inactive,39.968441,-75.140007
3037,Pennsylvania Convention Center,4/29/2015,Active,39.954239,-75.161377
3038,The Children's Hospital of Philadelphia (CHOP),4/23/2015,Inactive,39.947811,-75.194092
3039,Broad & Girard,4/23/2015,Active,39.97121,-75.159698
3040,17th & Spring Garden,4/23/2015,Active,39.962891,-75.166061
3041,"Girard Station, MFL",4/23/2015,Active,39.968491,-75.13546
3043,"18th & Fernon, Aquinas Center",4/23/2015,Active,39.93082,-75.174744
3045,13th & Locust,4/28/2015,Active,39.947922,-75.162369
3046,2nd & Market,4/23/2015,Active,39.950119,-75.144722
3047,"Independence Mall, NPS",4/23/2015,Active,39.95071,-75.149208
3048,Broad & Fitzwater,4/23/2015,Inactive,,
3049,Foglietta Plaza,4/23/2015,Active,39.945091,-75.142502
3050,9th & Arch,4/23/2015,Active,39.953388,-75.154259
3051,23rd & Fairmount,4/23/2015,Active,39.967442,-75.175072
3052,9th & Locust,4/23/2015,Active,39.947319,-75.156952
3053,Point Breeze & Tasker,4/23/2015,Active,39.932308,-75.181541
3054,Rodin Museum,4/23/2015,Active,39.962502,-75.174202
3055,8th & Market,4/28/2015,Active,39.951118,-75.154572
