"zip","city","county","pop"
"77494","Katy","Fort Bend","126310"
"77449","Katy","Harris","123157"
"75034","Frisco","Collin","116155"
"90011","Los Angeles","Los Angeles","110750"
"75070","McKinney","Collin","109085"
"79936","El Paso","El Paso","108668"
"11368","Corona","Queens","108661"
"77084","Houston","Harris","108161"
"60629","Chicago","Cook","107930"
"11385","Ridgewood","Queens","105025"
"11211","Brooklyn","Kings","104561"
"90650","Norwalk","Los Angeles","104524"
"8701","Lakewood","Ocean","104186"
"91331","Pacoima","Los Angeles","103683"
"11208","Brooklyn","Kings","102626"
"78660","Pflugerville","Travis","101937"
"10467","Bronx","Bronx","100867"
"90201","Bell","Los Angeles","100512"
"90044","Los Angeles","Los Angeles","99980"
"92335","Fontana","San Bernardino","99242"
"37013","Antioch","Davidson","99109"
"11236","Brooklyn","Kings","98821"
"92336","Fontana","San Bernardino","98731"
"94565","Pittsburg","Contra Costa","97249"
"11373","Elmhurst","Queens","96495"
"11226","Brooklyn","Kings","96332"
"77479","Sugar Land","Fort Bend","95615"
"90250","Hawthorne","Los Angeles","95115"
"90805","Long Beach","Los Angeles","95094"
"90280","South Gate","Los Angeles","94905"
"60618","Chicago","Cook","94646"
"91342","Sylmar","Los Angeles","94432"
"77433","Cypress","Harris","94345"
"75052","Grand Prairie","Dallas","94060"
"30044","Lawrenceville","Gwinnett","93987"
"92503","Riverside","Riverside","93032"
"10025","New York City","New York","92162"
"77584","Pearland","Brazoria","91993"
"29483","Summerville","Dorchester","91630"
"77573","League City","Galveston","91454"
"11207","Brooklyn","Kings","90867"
"92683","Westminster","Orange","90833"
"11220","Brooklyn","Kings","90657"
"77429","Cypress","Harris","90506"
"91710","Chino","San Bernardino","90481"
"10456","Bronx","Bronx","90479"
"11214","Brooklyn","Kings","90372"
"11234","Brooklyn","Kings","90372"
"10314","Staten Island","Richmond","89938"
"92154","San Diego","San Diego","89886"
"78521","Brownsville","Cameron","89629"
"926","San Juan","San Juan","89327"
"91911","Chula Vista","San Diego","88593"
"60639","Chicago","Cook","88515"
"30043","Lawrenceville","Gwinnett","88276"
"92804","Anaheim","Orange","88173"
"11219","Brooklyn","Kings","87812"
"11206","Brooklyn","Kings","87599"
"11230","Brooklyn","Kings","87188"
"75217","Dallas","Dallas","86811"
"92376","Rialto","San Bernardino","86719"
"60632","Chicago","Cook","86715"
"93307","Bakersfield","Kern","86273"
"92592","Temecula","Riverside","86115"
"92704","Santa Ana","Orange","85935"
"10458","Bronx","Bronx","85893"
