Country name,year,Happiness Rating,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
Namibia,2018,4.834087849,9.236609459,0.864214778,55.72499847,0.75390476,-0.174188748,0.845942497
Namibia,2019,4.435811043,9.211297989,0.844592154,56.09999847,0.739034534,-0.179359481,0.879070699
Namibia,2020,4.451010227,9.110319138,0.740570307,56.47499847,0.665681958,-0.107202545,0.810354829
Namibia,2021,4.491207123,9.120174408,0.80780077,56.84999847,0.658505261,-0.149577275,0.828966737
Namibia,2022,4.948962688,9.131615639,0.807958961,57.22499847,0.6825279,-0.119649537,0.848729193
Switzerland,2018,7.508586884,11.16419792,0.930290997,72.30000305,0.926414549,0.094202042,0.301259965
Switzerland,2019,7.69422102,11.16841984,0.948512852,72.5,0.913166702,0.029311452,0.293700755
Switzerland,2020,7.508435249,11.13707161,0.946316481,72.69999695,0.917343259,-0.072107695,0.280367136
Switzerland,2021,7.327672482,11.17089748,0.934393048,72.90000153,0.907875359,0.024104627,0.286672562
Switzerland,2022,6.883844376,11.18412018,0.880787432,73.09999847,0.848361075,0.128131226,0.234620094
Ukraine,2018,4.661909103,9.420351982,0.900936723,64.17500305,0.663055062,-0.077508025,0.942960739
Ukraine,2019,4.701762199,9.457587242,0.88272649,64.30000305,0.715311766,-0.084162027,0.885004938
Ukraine,2020,5.269675732,9.42607975,0.884686291,64.42500305,0.784273446,0.123323813,0.945668995
Ukraine,2021,5.311355114,9.46835804,0.879308522,64.55000305,0.769904315,0.16855143,0.922350943
Ukraine,2022,4.63743639,9.049329758,0.863068104,64.67500305,0.829034388,0.427582234,0.851863027
Tanzania,2018,3.445023298,7.828423023,0.6753304,58.04999924,0.807142138,0.153607219,0.611534059
Tanzania,2019,3.640154839,7.85463953,0.687267542,58.5,0.850132525,0.100826584,0.589293599
Tanzania,2020,3.785684109,7.844321728,0.739817083,58.95000076,0.830343485,0.296098918,0.520631671
Tanzania,2021,3.68056798,7.856203079,0.618984401,59.40000153,0.821772814,0.113438092,0.546387076
Tanzania,2022,3.615845203,7.871555328,0.600180984,59.84999847,0.856139898,0.136041611,0.584417045
Bulgaria,2018,5.098813534,10.00830364,0.923853278,66.19999695,0.724335909,-0.179910451,0.952014446
Bulgaria,2019,5.108438015,10.05492973,0.948204398,66.30000305,0.821929872,-0.112818673,0.942806482
Bulgaria,2020,5.597723007,10.02054119,0.916242361,66.40000153,0.818224788,-0.010106544,0.900632977
Bulgaria,2021,5.421693325,10.10226154,0.883621037,66.5,0.841188073,-0.015801253,0.891248465
Bulgaria,2022,5.378348827,10.13758183,0.952761054,66.59999847,0.741359413,-0.145212695,0.941625774
France,2018,6.665903568,10.71986866,0.921463072,72,0.816377223,-0.14162302,0.581775308
France,2019,6.689644337,10.73471642,0.958348095,72.09999847,0.827240825,-0.137017593,0.568272293
France,2020,6.714111805,10.65096092,0.947354019,72.19999695,0.823386312,-0.173693419,0.564640582
France,2021,6.656206608,10.71426487,0.914597511,72.30000305,0.836917698,-0.102300741,0.56081295
France,2022,6.613806725,10.7368784,0.865514636,72.40000153,0.798249364,-0.024987714,0.532776713
Vietnam,2018,5.295547009,9.173262596,0.83194524,65.19999695,0.909259796,-0.06076809,0.808422983
Vietnam,2019,5.467451096,9.235228539,0.847592115,65.30000305,0.95246917,-0.145854294,0.787889242
Vietnam,2020,5.462341785,9.254416466,0.764509618,65.40000153,0.944707036,0.065848432,0.791133821
Vietnam,2021,5.540249825,9.271267891,0.799493909,65.5,0.896800399,0.106941305,0.797787547
Vietnam,2022,6.266508579,9.332854271,0.878744006,65.59999847,0.975405157,-0.178986996,0.703422904
Sweden,2018,7.374792099,10.86569405,0.93067956,71.77500153,0.941724658,0.07340049,0.262796581
Sweden,2019,7.398092747,10.87522411,0.93364507,71.90000153,0.941515207,0.08712472,0.250087917
Sweden,2020,7.314341068,10.84605598,0.93558234,72.02500153,0.951181591,0.085886888,0.203440145
Sweden,2021,7.439280033,10.88955498,0.931819558,72.15000153,0.953379214,0.174091205,0.191473097
Sweden,2022,7.431214333,10.91266155,0.949338436,72.27500153,0.939461946,0.234011218,0.213236347
Poland,2018,6.111485004,10.36530972,0.863444209,68.52500153,0.870215118,-0.258324355,0.720451355
Poland,2019,6.24209404,10.40909195,0.878268242,68.69999695,0.882885754,-0.234856516,0.696057379
Poland,2020,6.139455318,10.39043522,0.95317173,68.875,0.767428696,-0.011896272,0.786873639
Poland,2021,5.978068829,10.46068668,0.935534835,69.05000305,0.731805563,0.123874821,0.743913174
Poland,2022,6.666265011,10.50880241,0.886446774,69.22499847,0.800018609,-0.206587344,0.667024732
Ireland,2018,6.962335587,11.33068848,0.937862396,71,0.861471593,0.139545679,0.362210244
Ireland,2019,7.254841328,11.36999321,0.943726361,71.09999847,0.892458677,0.068902165,0.372803569
Ireland,2020,7.034930706,11.41971016,0.960311055,71.19999695,0.882098258,0.002064911,0.355632722
Ireland,2021,6.827651978,11.53758144,0.849838138,71.30000305,0.846344113,0.132696584,0.360423386
Ireland,2022,6.869863987,11.62491417,0.906079292,71.40000153,0.895009518,0.140264258,0.357812256
Costa Rica,2018,7.141074657,9.928339958,0.875872433,70,0.941888332,-0.114396922,0.781301796
Costa Rica,2019,6.997618675,9.943575859,0.906077445,70,0.926830113,-0.153729483,0.835628331
Costa Rica,2020,6.338472366,9.894665718,0.834199548,70,0.889399767,-0.136444375,0.772164285
Costa Rica,2021,6.408448219,9.961722374,0.87605232,70,0.886652231,-0.02657732,0.781826913
Costa Rica,2022,7.076658249,9.997837067,0.901608407,70,0.910026312,-0.047002032,0.750560999
Kazakhstan,2018,6.00763607,10.14817142,0.936656713,64.59999847,0.84018296,-0.101779088,0.82378298
Kazakhstan,2019,6.272268295,10.17929173,0.951050103,65,0.852387428,-0.058803622,0.708279192
Kazakhstan,2020,6.168269157,10.1409874,0.966448963,65.40000153,0.872100115,-0.060331773,0.660798848
Kazakhstan,2021,6.259634018,10.17009354,0.906053364,65.80000305,0.807489097,0.03642213,0.782494009
Kazakhstan,2022,6.006279469,10.18687248,0.923373282,66.19999695,0.882937968,0.02240829,0.720168531
Indonesia,2018,5.340295792,9.341143608,0.809378862,62.67499924,0.879374385,0.508753896,0.867729425
Indonesia,2019,5.346512794,9.380740166,0.80191803,62.79999924,0.865859151,0.551963031,0.860784769
Indonesia,2020,4.828147411,9.351469994,0.750896156,62.92499924,0.85332638,0.53159827,0.913812995
Indonesia,2021,5.43317318,9.380770683,0.816924691,63.04999924,0.884855866,0.54299742,0.845080256
Indonesia,2022,5.584685802,9.425395966,0.834076643,63.17499924,0.903250694,0.518823147,0.861708522
Congo (Brazzaville),2018,5.490214348,8.239173889,0.620622933,55.875,0.69870007,-0.101779334,0.738020182
Congo (Brazzaville),2019,5.212622643,8.214752197,0.624768078,56.20000076,0.686451972,-0.056287225,0.74058944
Congo (Brazzaville),2020,5.079139233,8.127007484,0.596515119,56.52500153,0.760727525,-0.021083379,0.727796018
Congo (Brazzaville),2021,4.920531273,8.081596375,0.567651093,56.84999847,0.737661481,-0.019420257,0.732729912
Congo (Brazzaville),2022,5.804918766,8.077151299,0.646345079,57.17499924,0.69769448,0.027624207,0.759754062
Belgium,2018,6.89217186,10.84180355,0.929815531,70.44999695,0.808386624,-0.128761545,0.630411804
Belgium,2019,6.772138119,10.85856056,0.884230494,70.59999847,0.776203632,-0.176252663,0.672497511
